Statistical profiling result from bloq-v8.log, (4064 ticks, 54 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  T __ZN2v88internal18Builtin_ArrayShiftEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v811HandleScopeD1Ev

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   2392   58.9%  T __ZN2v88internal8Compiler30GetSharedFunctionInfoForScriptEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS1_13ScriptDetailsENS_19ScriptOriginOptionsEPNS_9ExtensionEPNS0_10ScriptDataENS_14ScriptCompiler14CompileOptionsENSF_13NoCacheReasonENS0_11NativesFlagE
   1155   48.3%    T __ZN2v88internal8Compiler30GetSharedFunctionInfoForScriptEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS1_13ScriptDetailsENS_19ScriptOriginOptionsEPNS_9ExtensionEPNS0_10ScriptDataENS_14ScriptCompiler14CompileOptionsENSF_13NoCacheReasonENS0_11NativesFlagE
    791   68.5%      LazyCompile: *calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
    791  100.0%        LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
    791  100.0%          LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
    791  100.0%            LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
     74    6.4%      T __ZN2v88internal8Compiler30GetSharedFunctionInfoForScriptEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS1_13ScriptDetailsENS_19ScriptOriginOptionsEPNS_9ExtensionEPNS0_10ScriptDataENS_14ScriptCompiler14CompileOptionsENSF_13NoCacheReasonENS0_11NativesFlagE
     31   41.9%        LazyCompile: *formatProperty internal/util/inspect.js:1682:24
     23   74.2%          LazyCompile: *formatArray internal/util/inspect.js:1509:21
     23  100.0%            LazyCompile: ~formatRaw internal/util/inspect.js:807:19
      8   25.8%          LazyCompile: *formatRaw internal/util/inspect.js:807:19
      8  100.0%            LazyCompile: *formatValue internal/util/inspect.js:738:21
      9   12.2%        LazyCompile: *groupArrayElements internal/util/inspect.js:1261:28
      7   77.8%          LazyCompile: ~reduceToSingleString internal/util/inspect.js:1767:30
      5   71.4%            LazyCompile: ~formatRaw internal/util/inspect.js:807:19
      2   28.6%            LazyCompile: *formatRaw internal/util/inspect.js:807:19
      2   22.2%          LazyCompile: *reduceToSingleString internal/util/inspect.js:1767:30
      2  100.0%            LazyCompile: *formatRaw internal/util/inspect.js:807:19
      6    8.1%        LazyCompile: ~expressInit /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/middleware/init.js:29:30
      6  100.0%          LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      6  100.0%            LazyCompile: ~trim_prefix /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:293:23
      5    6.8%        LazyCompile: ~match /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:110:39
      5  100.0%          LazyCompile: ~matchLayer /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:583:20
      5  100.0%            LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:177:16
      3    4.1%        LazyCompile: ~format /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/content-type/index.js:65:17
      2   66.7%          LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      2  100.0%            LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      1   33.3%          LazyCompile: ~setCharset /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/utils.js:248:41
      1  100.0%            LazyCompile: ~send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      3    4.1%        LazyCompile: ~entitytag /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/etag/index.js:39:20
      3  100.0%          LazyCompile: ~etag /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/etag/index.js:70:15
      2   66.7%            LazyCompile: ~generateETag /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/utils.js:273:32
      1   33.3%            LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      3    4.1%        LazyCompile: ~calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
      3  100.0%          LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      3  100.0%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      2    2.7%        LazyCompile: ~parse /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/content-type/index.js:106:16
      1   50.0%          LazyCompile: ~setCharset /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/utils.js:248:41
      1  100.0%            LazyCompile: ~send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      1   50.0%          LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      1  100.0%            LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      2    2.7%        LazyCompile: ~checkInvalidHeaderChar _http_common.js:230:32
      2  100.0%          LazyCompile: ~<anonymous> _http_outgoing.js:546:45
      1   50.0%            LazyCompile: ~hidden internal/errors.js:286:25
      1   50.0%            LazyCompile: *hidden internal/errors.js:286:25
      2    2.7%        LazyCompile: ~<anonymous> internal/per_context/primordials.js:23:10
      1   50.0%          LazyCompile: ~init internal/util/debuglog.js:70:16
      1  100.0%            LazyCompile: ~debug internal/util/debuglog.js:74:15
      1   50.0%          LazyCompile: ~finalizeResolution internal/modules/esm/resolve.js:249:28
      1  100.0%            LazyCompile: ~moduleResolve internal/modules/esm/resolve.js:684:23
      2    2.7%        LazyCompile: *next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:177:16
      2  100.0%          LazyCompile: ~expressInit /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/middleware/init.js:29:30
      2  100.0%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      1    1.4%        LazyCompile: ~populateMaps /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/mime-types/index.js:154:23
      1  100.0%          Eval: ~<anonymous> /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/mime-types/index.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1    1.4%        LazyCompile: ~pathtoRegexp /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/path-to-regexp/index.js:28:22
      1  100.0%          LazyCompile: ~Layer /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:33:15
      1  100.0%            LazyCompile: ~route /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:502:29
      1    1.4%        LazyCompile: ~header /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:777:29
      1  100.0%          LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      1  100.0%            LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1    1.4%        LazyCompile: *header /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:777:29
      1  100.0%          LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      1  100.0%            LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1    1.4%        LazyCompile: *calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
